病害名称,问题分析,解决方案
apple healthy（苹果健康）,"植株生长状态良好，无任何病害感染迹象，叶片、果实、枝干等器官发育正常，未受真菌、细菌、病毒或害虫侵害，生理机能稳定。","无需特殊防治措施，维持常规种植管理（如合理灌溉、科学施肥、适度修剪），定期巡查监测生长状态，预防潜在病虫害发生。"
Apple_Scab general（苹果黑星病一般）,"由真菌Venturia inaequalis引起，通过风雨传播，低温高湿（10-20℃，湿度＞90%）环境易爆发；叶片初期出现圆形褐色至黑色小斑，周围有黄色晕圈，后期病斑扩大凹陷，果实幼果期病斑黑色凹陷，随膨大可能畸形；发病范围局限，危害较轻，树势暂未明显衰弱。","农业防治：及时清除病叶、病果并集中烧毁，减少侵染源；合理修剪保持树冠通风透光，降低园内湿度。化学防治：喷施1:1:200波尔多液或800倍代森锰锌液，每10-14天1次，连续2-3次；若病斑明显，换用1000倍苯醚甲环唑液针对性防治。"
Apple_Scab serious（苹果黑星病严重）,"由真菌Venturia inaequalis引起，病害大面积爆发，叶片布满黑色凹陷病斑且大量早落，果实畸形开裂、病斑粗糙，病菌在病残体和枝干病斑中大量越冬；树势显著衰弱，产量大幅下降，次年侵染风险极高。","农业防治：彻底清除园内病叶、病果、枯枝并烧毁，刮除枝干病斑后涂抹5波美度石硫合剂消毒；增施氨基酸叶面肥恢复树势。化学防治：交替喷施1000倍苯醚甲环唑液和800倍代森锰锌液，缩短间隔至7-10天，连续3-4次，避免病菌抗药性。"
Apple_Frogeye Spot（苹果灰斑病）,"由真菌Botryosphaeria obtusa引起，高温高湿（25-30℃，多雨）环境易流行；叶片出现圆形灰色病斑，边缘紫褐色，中心有小黑点（分生孢子器），后期病斑破裂，果实染病呈“蛙眼”状凹陷；可导致叶片早落，果实失去商品价值，树势削弱。","农业防治：冬季清园销毁病残体，避免果园积水，修剪过密枝条增强通风；增施钙肥和有机肥提高抗病性。化学防治：发病初期喷施800倍代森锰锌液，病斑出现后换用800倍甲基硫菌灵液，每10天1次，连续2-3次。"
Cedar Apple Rust general（苹果雪松锈病一般）,"由真菌Gymnosporangium juniperi-virginianae引起，转主寄生（依赖苹果和雪松），春季风雨传播；叶片初期出现黄色小斑，后扩大为橙黄色病斑，边缘红色，背面生少量黄色孢子角，果实偶有少量病斑；附近有雪松时易传播，暂未造成大量落叶。","农业防治：清除果园周边5公里内雪松，无法清除时春季在雪松上喷施3-5波美度石硫合剂；及时剪除苹果病叶病果并销毁。化学防治：苹果展叶后喷施1000倍三唑酮液，每15天1次，连续2次。"
Cedar Apple Rust serious（苹果雪松锈病严重）,"由真菌Gymnosporangium juniperi-virginianae引起，病害大规模发生，叶片、果实、枝条布满橙黄色病斑，背面产生大量黄色毛状孢子角，叶片大量脱落，果实畸形，枝条肿胀易折；附近雪松存在时病害循环加剧，树势严重衰退。","农业防治：强化雪松处理（喷施高浓度石硫合剂），彻底清除苹果病组织并烧毁；病叶率超30%时喷施300倍磷酸二氢钾+螯合铁肥恢复树势。化学防治：交替喷施1500倍氟环唑液和1000倍醚菌酯液，每7-10天1次，连续3次；长期可改种抗病品种。"
Cherry healthy（樱桃健康）,"植株生长健壮，无病虫害感染，叶片翠绿有光泽，果实发育正常，枝干无病斑或损伤，生理代谢稳定。","维持常规管理：合理浇水（避免积水）、增施腐熟有机肥，定期修剪保持树体通风，每季度巡查一次，预防病虫害入侵。"
Cherry_Powdery Mildew general（樱桃白粉病一般）,"由真菌Podosphaera clandestina引起，高湿与干旱交替环境易爆发，通过气流传播；叶片表面出现白色粉状霉层，边缘卷曲，幼果染病后畸形；发病范围小，对产量影响较轻。","农业防治：及时清除病叶、病果，修剪过密枝条增强通风透光；增施磷钾肥提高抗病性。化学防治：喷施1000倍醚菌酯液或1500倍三唑酮液，每10天1次，连续2次。"
Cherry_Powdery Mildew serious（樱桃白粉病严重）,"由真菌Podosphaera clandestina引起，全株大面积感染，叶片、新梢、果实均覆盖厚层白粉，叶片焦枯脱落，新梢生长停滞，果实严重畸形；树势衰弱，次年结果能力显著下降。","农业防治：彻底清除病枝、病叶、病果并集中烧毁，全园深翻土壤减少菌源；叶面喷施氨基酸肥增强树势。化学防治：交替喷施800倍代森联液和1200倍氟硅唑液，每7天1次，连续3-4次，重点喷施叶片背面。"
Corn healthy（玉米健康）,"植株生长旺盛，茎秆粗壮，叶片翠绿无病斑，雄穗、雌穗发育正常，无病虫害损伤，抗逆性强。","常规管理：合理密植，适时追肥（拔节期增施氮肥），注意田间排水防涝，成熟前定期检查，预防后期病虫害。"
Crossospora zeaemaydis Tjebon and Daniels general（玉米灰斑病一般）,"由真菌Cercospora zeae-maydis引起（学名常作此规范名），高湿多雨环境易流行，通过气流传播；叶片出现浅灰色长条状病斑，边缘褐色，病斑长度2-5cm；发病初期，仅下部叶片受侵，对光合作用影响较小。","农业防治：实行轮作（与非禾本科作物），收获后清除病残体并深翻；合理密植，避免田间郁闭。化学防治：喷施1000倍苯醚甲环唑液或800倍丙环唑液，每10-15天1次，连续2次。"
Crossospora zeaemaydis Tjebon and Daniels serious（玉米灰斑病严重）,"由真菌Cercospora zeae-maydis引起，病害快速蔓延，全株叶片布满灰色长条斑，病斑融合导致叶片枯黄枯死，植株早衰；雄穗发育不良，雌穗灌浆不足，严重减产。","农业防治：彻底清除田间病残体并烧毁，增施钾肥和有机肥增强植株抗性；及时排水降低田间湿度。化学防治：交替喷施600倍代森锰锌液和1200倍戊唑醇液，每7天1次，连续3次，重点喷施中上部叶片。"
Puccinia polysora general（玉米锈病一般）,"由真菌Puccinia polysora引起，高温高湿（20-30℃，湿度＞85%）环境易爆发，通过气流传播；叶片出现黄褐色圆形锈状孢子堆，散生或聚生，主要危害中下部叶片；发病初期，对产量影响有限。","农业防治：选用抗病品种，清除田间杂草减少菌源；合理施肥，避免氮肥过多导致植株徒长。化学防治：喷施1000倍三唑酮液或1500倍戊唑醇液，每10天1次，连续2次。"
Puccinia polysora serious（玉米锈病严重）,"由真菌Puccinia polysora引起，全株叶片、叶鞘甚至苞叶布满密集的黄褐色孢子堆，孢子堆破裂后散出锈色粉末，叶片迅速枯黄枯死；植株光合作用严重受阻，籽粒不饱满，减产可达30%以上。","农业防治：及时拔除严重病株并烧毁，收获后深翻土壤；喷施磷酸二氢钾溶液增强植株抗逆性。化学防治：交替喷施800倍代森锌液和1200倍氟环唑液，每5-7天1次，连续3-4次，全株均匀喷施。"
Corn Curvularia leaf spot fungus general（玉米叶斑病一般）,"由真菌Curvularia lunata引起，高温高湿环境易发生，通过风雨传播；叶片出现椭圆形褐色病斑，边缘紫褐色，中心灰白，直径2-4mm；发病范围小，主要危害下部老叶。","农业防治：实行轮作，收获后清除病残体；合理灌溉，避免大水漫灌导致田间高湿。化学防治：喷施800倍代森锰锌液或1000倍咪鲜胺液，每12天1次，连续2次。"
Corn Curvularia leaf spot fungus serious（玉米叶斑病严重）,"由真菌Curvularia lunata引起，病斑扩大并融合成不规则大斑，叶片大面积焦枯，茎秆和苞叶也可受侵；植株提前衰老，籽粒灌浆不足，严重时绝收。","农业防治：彻底清除病残体并烧毁，增施磷钾肥提高植株抗性；加强田间通风降湿。化学防治：交替喷施600倍百菌清液和1000倍苯醚甲环唑液，每7天1次，连续3次，重点喷施发病部位。"
Maize dwarf mosaic virus（玉米花叶病毒病）,"由玉米矮花叶病毒（MDMV）引起，主要通过蚜虫传播，也可经种子带毒；叶片出现黄绿相间的 mosaic 斑纹，植株矮化，节间缩短，雄穗发育不良，雌穗不结实或籽粒少；病毒可在杂草中越冬，连作田发病重。","农业防治：选用抗病品种，清除田间及周边杂草（毒源寄主）；及时拔除病株并深埋。化学防治：重点防治蚜虫（传播媒介），喷施1000倍吡虫啉液或800倍啶虫脒液，切断传播链；发病初期喷施病毒抑制剂（如20%吗胍·乙酸铜800倍液）。"
Grape healthy（葡萄健康）,"植株生长正常，新梢健壮，叶片无病斑、无卷曲，果实饱满无畸形，果穗整齐，枝干无损伤，无病虫害迹象。","常规管理：合理修剪（保持架面通风），花期和果实膨大期追肥（增施钾肥），适时浇水（避免果实开裂），定期检查预防病害。"
Grape Black Rot Fungus general（葡萄黑腐病一般）,"由真菌Guignardia bidwellii引起，高湿多雨环境易流行，通过风雨传播；果实初期出现褐色小斑，后扩大软腐，表面产生黑色小点（分生孢子器），叶片病斑圆形、褐色有轮纹；发病初期，仅少量果实和叶片受侵。","农业防治：冬季清园销毁病果、病叶，修剪病枝；合理疏果，保持果穗通风。化学防治：喷施1:0.5:200波尔多液或800倍甲基硫菌灵液，每10天1次，连续2-3次，重点喷施果穗。"
Grape Black Rot Fungus serious（葡萄黑腐病严重）,"由真菌Guignardia bidwellii引起，大量果实软腐脱落，叶片病斑融合导致枯黄早落，新梢也可受侵出现溃疡斑；病果率可达50%以上，严重影响产量和品质，病菌在病残体中越冬。","农业防治：彻底清除病果、病叶、病枝并集中烧毁，全园喷施5波美度石硫合剂清园；增施有机肥增强树势。化学防治：交替喷施600倍代森锰锌液和1000倍苯醚甲环唑液，每7天1次，连续3-4次，果穗可套袋保护。"
Grape Black Measles Fungus general（葡萄轮斑病一般）,"由真菌Phyllosticta ampelicida引起，多雨季节易发生，通过风雨传播；叶片出现圆形或不规则病斑，中心灰白，边缘褐色，周围有黄色晕圈，病斑上有黑色小点；发病范围局限于下部叶片。","农业防治：清除病叶并深埋，加强排水降低田间湿度；合理修剪，避免叶片重叠。化学防治：喷施800倍代森锌液或1000倍多菌灵液，每12天1次，连续2次。"
Grape Black Measles Fungus serious（葡萄轮斑病严重）,"由真菌Phyllosticta ampelicida引起，病斑大面积融合，叶片焦枯脱落，新梢生长受抑；植株光合能力大幅下降，果实成熟延迟，品质降低，树势衰弱。","农业防治：彻底清除病残体并烧毁，秋季深翻土壤；叶面喷施氨基酸肥恢复树势。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7-10天1次，连续3次，全株均匀喷施。"
Grape Leaf Blight Fungus general（葡萄褐斑病一般）,"由真菌Isariopsis clavispora引起，高温高湿环境易爆发，通过风雨传播；叶片出现圆形或不规则褐色病斑，直径3-10mm，背面有灰褐色霉层；初期仅下部叶片发病，病叶率＜20%。","农业防治：冬季清园销毁病叶，合理施肥（增施钾肥），避免偏施氮肥；及时排水防涝。化学防治：喷施1:1:200波尔多液或800倍代森锰锌液，每10天1次，连续2次。"
Grape Leaf Blight Fungus serious（葡萄褐斑病严重）,"由真菌Isariopsis clavispora引起，病斑扩大融合，叶片自下而上大量枯黄脱落，新梢木质化不良；植株越冬能力下降，次年萌芽率低，产量锐减。","农业防治：彻底清除病叶并烧毁，深翻土壤掩埋菌源；增施有机肥和磷钾肥增强抗性。化学防治：交替喷施600倍甲基硫菌灵液和1000倍醚菌酯液，每7天1次，连续3-4次，重点喷施叶片背面。"
Citrus healthy（柑橘健康）,"树势健壮，叶片浓绿有光泽，无黄化、卷曲或病斑，果实大小均匀、着色正常，枝干无流胶或虫蛀痕迹，根系发达。","常规管理：合理修剪（保持树冠通风），科学施肥（春梢期施氮肥，果实膨大期施钾肥），防治潜叶蛾等害虫，定期监测土壤pH值（保持5.5-6.5）。"
