epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.601,2.53839,3.9922,2.97438,0.66849,0.04058,0.03293,0.01431,2.9235,3.49914,3.64027,0.0801184,9.99074e-05,9.99074e-05
2,913.917,2.46152,3.21391,2.8232,0.56554,0.12071,0.07999,0.03734,2.75867,2.86451,3.44363,0.0602184,0.000199859,0.000199859
3,1367.68,2.4495,2.92947,2.79329,0.51817,0.18222,0.12456,0.06504,2.46092,2.69072,3.12561,0.0403181,0.000299614,0.000299614
4,1815.59,2.41156,2.78241,2.76693,0.45688,0.19238,0.16006,0.08151,2.55558,2.32148,3.20896,0.0204175,0.000399029,0.000399029
5,2261.32,2.3697,2.64763,2.72874,0.53744,0.22725,0.19123,0.10408,2.4578,2.15439,3.12692,0.000516475,0.000497956,0.000497956
6,2709.16,2.3274,2.54512,2.6991,0.47218,0.2726,0.22606,0.12234,2.39691,2.04904,3.09423,0.000496953,0.000496953,0.000496953
7,3153.5,2.29099,2.4769,2.6649,0.48086,0.28905,0.26345,0.14544,2.37448,1.85154,3.03991,0.000495616,0.000495616,0.000495616
8,3599.12,2.27099,2.41168,2.64252,0.47289,0.32056,0.28347,0.15839,2.31957,1.77741,2.99642,0.000494039,0.000494039,0.000494039
9,4043.9,2.25997,2.35988,2.63663,0.45858,0.36712,0.30789,0.17333,2.29068,1.7009,2.97455,0.000492224,0.000492224,0.000492224
10,4489.82,2.23368,2.30312,2.60922,0.47827,0.35518,0.32046,0.18469,2.23706,1.69012,2.9105,0.000490173,0.000490173,0.000490173
11,4933.93,2.21342,2.26387,2.58916,0.45351,0.39458,0.34836,0.19928,2.2262,1.58985,2.91176,0.000487886,0.000487886,0.000487886
12,5379.13,2.20106,2.2015,2.58615,0.45671,0.3896,0.36231,0.20554,2.23007,1.60094,2.8943,0.000485368,0.000485368,0.000485368
13,5825.91,2.19341,2.19035,2.57159,0.55978,0.4105,0.38368,0.22506,2.19781,1.52955,2.88078,0.00048262,0.00048262,0.00048262
14,6270.4,2.17802,2.14534,2.55752,0.48188,0.42104,0.39452,0.2342,2.18946,1.49493,2.8588,0.000479644,0.000479644,0.000479644
15,6713.95,2.16628,2.11065,2.55657,0.43685,0.44845,0.39595,0.23177,2.19101,1.45318,2.87618,0.000476445,0.000476445,0.000476445
16,7159.18,2.15445,2.07818,2.54418,0.47468,0.44144,0.41639,0.24992,2.14666,1.42304,2.82849,0.000473024,0.000473024,0.000473024
17,7604.22,2.1518,2.05855,2.53515,0.44781,0.46929,0.43145,0.26025,2.13541,1.38698,2.81719,0.000469386,0.000469386,0.000469386
18,8049.61,2.13871,2.03235,2.52626,0.48929,0.47737,0.44045,0.26829,2.10439,1.35239,2.79469,0.000465534,0.000465534,0.000465534
19,8494.08,2.14245,2.02604,2.52814,0.48131,0.4784,0.45568,0.27649,2.10543,1.32402,2.79027,0.000461471,0.000461471,0.000461471
20,8939.22,2.13021,1.99087,2.51452,0.43598,0.50085,0.47303,0.28828,2.1085,1.30971,2.78506,0.000457202,0.000457202,0.000457202
21,9382.58,2.13151,1.98011,2.51317,0.56751,0.4728,0.48071,0.29377,2.08061,1.28207,2.7623,0.000452732,0.000452732,0.000452732
22,9828.52,2.11352,1.95146,2.50703,0.48618,0.53673,0.48844,0.30315,2.06604,1.25264,2.74723,0.000448063,0.000448063,0.000448063
23,10273.4,2.12814,1.94598,2.50877,0.52122,0.51661,0.51109,0.31474,2.04733,1.2463,2.73447,0.000443202,0.000443202,0.000443202
24,10717.9,2.09647,1.90588,2.49133,0.47162,0.53731,0.51207,0.31784,2.05225,1.223,2.72564,0.000438152,0.000438152,0.000438152
25,11162.7,2.09731,1.90159,2.49115,0.51339,0.53752,0.51103,0.31719,2.04176,1.2059,2.72475,0.00043292,0.00043292,0.00043292
26,11607.5,2.09327,1.8818,2.48629,0.49158,0.54225,0.52079,0.32624,2.03632,1.19619,2.7152,0.000427509,0.000427509,0.000427509
27,12052.1,2.08641,1.85075,2.47402,0.52018,0.54384,0.52759,0.33299,2.01941,1.17836,2.70083,0.000421925,0.000421925,0.000421925
28,12497,2.06845,1.84793,2.47001,0.52357,0.55859,0.53279,0.33546,2.01713,1.17175,2.69709,0.000416175,0.000416175,0.000416175
29,12942,2.07213,1.83873,2.46618,0.5299,0.54692,0.54374,0.34113,1.99768,1.15292,2.68021,0.000410262,0.000410262,0.000410262
