epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.304,2.95591,7.95155,3.04711,0.52319,0.03385,0.00961,0.00324,3.09496,6.30833,3.15303,0.0801184,9.99074e-05,9.99074e-05
2,471.052,2.37581,6.41856,2.43971,0.00705,0.40556,0.02237,0.01037,2.57683,5.91813,2.74836,0.0602182,0.000199712,0.000199712
3,698.962,2.17848,5.79519,2.2621,0.65819,0.07755,0.04378,0.01988,2.31438,5.10734,2.5661,0.0403173,0.000298737,0.000298737
4,924.172,2.07199,5.45855,2.16401,0.62346,0.09172,0.05502,0.0265,2.11889,4.97012,2.40368,0.0204149,0.000396401,0.000396401
5,1147.39,1.99574,5.16631,2.09768,0.565,0.13297,0.08588,0.04304,2.02555,4.42683,2.3724,0.000510652,0.000492133,0.000492133
6,1370.75,1.93822,4.94564,2.04567,0.57875,0.15993,0.10855,0.05701,1.97643,4.16362,2.34573,0.000487886,0.000487886,0.000487886
7,1593.79,1.90089,4.76593,2.0064,0.51865,0.18454,0.14006,0.07525,1.91261,3.85318,2.22521,0.00048262,0.00048262,0.00048262
8,1817.11,1.86616,4.6068,1.97896,0.51155,0.19409,0.15854,0.08667,1.87629,3.70743,2.19771,0.000476445,0.000476445,0.000476445
9,2039.19,1.82688,4.45328,1.95003,0.39724,0.22794,0.17894,0.09946,1.83926,3.57909,2.19944,0.000469386,0.000469386,0.000469386
10,2261.49,1.81193,4.3397,1.93422,0.44126,0.25508,0.20844,0.11447,1.82744,3.40678,2.15299,0.000461471,0.000461471,0.000461471
11,2484.34,1.79262,4.21529,1.91512,0.44573,0.26681,0.2294,0.13002,1.77977,3.28343,2.1106,0.000452732,0.000452732,0.000452732
12,2706.4,1.77294,4.11544,1.8902,0.47554,0.27037,0.24168,0.13806,1.75613,3.18507,2.0946,0.000443202,0.000443202,0.000443202
13,2928.33,1.75698,4.05703,1.88378,0.45617,0.29978,0.25908,0.14833,1.72409,3.07045,2.04762,0.00043292,0.00043292,0.00043292
