epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.984,1.7346,5.98468,1.78097,0.60084,0.09127,0.07892,0.041,1.86724,4.94697,2.12111,0.0801184,9.99074e-05,9.99074e-05
2,472.037,1.71963,4.67171,1.74944,0.55324,0.16986,0.11945,0.06361,1.87052,4.44355,2.12751,0.0602182,0.000199712,0.000199712
3,701.109,1.70196,4.12655,1.7274,0.56239,0.23078,0.1913,0.10625,1.76655,3.83366,2.04138,0.0403173,0.000298737,0.000298737
4,927.21,1.68032,3.85205,1.71082,0.46656,0.26879,0.22614,0.13061,1.72733,3.32237,1.98625,0.0204149,0.000396401,0.000396401
5,1152.36,1.65116,3.63953,1.68535,0.52224,0.32061,0.27699,0.15817,1.73313,3.10874,1.9835,0.000510652,0.000492133,0.000492133
6,1375.92,1.63078,3.4786,1.66697,0.47834,0.37899,0.31025,0.18791,1.64428,3.0605,1.89718,0.000487886,0.000487886,0.000487886
7,1598.8,1.61774,3.36561,1.65551,0.42572,0.43792,0.36435,0.21438,1.65514,2.61008,1.8998,0.00048262,0.00048262,0.00048262
8,1821.21,1.59475,3.24139,1.6427,0.47198,0.43012,0.37617,0.22161,1.63439,2.56651,1.8913,0.000476445,0.000476445,0.000476445
9,2044.41,1.58491,3.14602,1.63578,0.45704,0.46682,0.40995,0.25176,1.57449,2.40456,1.83462,0.000469386,0.000469386,0.000469386
10,2267.01,1.58162,3.0727,1.63376,0.5311,0.47037,0.44362,0.27027,1.58016,2.30799,1.82856,0.000461471,0.000461471,0.000461471
11,2490.21,1.56271,3.00269,1.61898,0.49982,0.4663,0.45017,0.2739,1.57013,2.25371,1.82415,0.000452732,0.000452732,0.000452732
12,2713.45,1.55132,2.92617,1.6083,0.47858,0.51884,0.4711,0.2917,1.55234,2.18325,1.79956,0.000443202,0.000443202,0.000443202
13,2936.61,1.54435,2.88362,1.60823,0.53524,0.50004,0.48669,0.30318,1.51735,2.12017,1.7779,0.00043292,0.00043292,0.00043292
14,3159.42,1.52341,2.81202,1.59774,0.48074,0.56328,0.52042,0.32442,1.52604,2.03382,1.78247,0.000421925,0.000421925,0.000421925
15,3382.17,1.52264,2.76864,1.59187,0.47995,0.56902,0.53657,0.33738,1.50997,2.00074,1.77126,0.000410262,0.000410262,0.000410262
16,3603.83,1.50906,2.71336,1.58695,0.5582,0.54382,0.53979,0.33904,1.50506,1.95187,1.76168,0.000397977,0.000397977,0.000397977
17,3827.13,1.50424,2.65671,1.57774,0.51441,0.55282,0.55654,0.35297,1.49858,1.9163,1.75885,0.000385117,0.000385117,0.000385117
18,4049.92,1.50291,2.63005,1.58318,0.52984,0.59997,0.57875,0.3652,1.48761,1.86171,1.74501,0.000371734,0.000371734,0.000371734
19,4271.9,1.4917,2.5811,1.56827,0.57262,0.58671,0.57708,0.36685,1.47718,1.84475,1.74,0.00035788,0.00035788,0.00035788
20,4494.34,1.48651,2.54893,1.56777,0.59543,0.56773,0.59584,0.38391,1.47824,1.76534,1.73137,0.000343611,0.000343611,0.000343611
21,4716.85,1.48513,2.51098,1.5686,0.58466,0.60397,0.60151,0.38981,1.45207,1.75515,1.71447,0.000328982,0.000328982,0.000328982
22,4939.05,1.46279,2.46951,1.55665,0.59642,0.60662,0.61788,0.40261,1.44582,1.71791,1.70715,0.000314051,0.000314051,0.000314051
23,5161.71,1.46237,2.42982,1.55136,0.5623,0.61949,0.61739,0.40505,1.44425,1.69548,1.70582,0.000298877,0.000298877,0.000298877
24,5383.85,1.45842,2.39813,1.54868,0.58911,0.62426,0.63172,0.41591,1.43284,1.65599,1.69592,0.00028352,0.00028352,0.00028352
25,5606.91,1.45061,2.36798,1.54219,0.56418,0.63712,0.63463,0.41772,1.42365,1.63337,1.69124,0.000268041,0.000268041,0.000268041
26,5828.62,1.45098,2.33578,1.54248,0.56018,0.66429,0.6538,0.43237,1.42384,1.61473,1.68529,0.0002525,0.0002525,0.0002525
27,6050.98,1.44255,2.29854,1.53394,0.60181,0.63623,0.65563,0.43473,1.41416,1.58815,1.67952,0.000236959,0.000236959,0.000236959
28,6273.18,1.42454,2.23947,1.5272,0.61986,0.64715,0.66015,0.43863,1.40792,1.56282,1.67777,0.00022148,0.00022148,0.00022148
29,6495.75,1.42333,2.23614,1.52909,0.61565,0.65378,0.65692,0.43727,1.40416,1.55204,1.67312,0.000206123,0.000206123,0.000206123
30,6718.63,1.41542,2.20526,1.52108,0.60238,0.65669,0.67167,0.44753,1.39797,1.53381,1.67071,0.000190949,0.000190949,0.000190949
31,6940.7,1.41458,2.17092,1.51993,0.64807,0.65712,0.68135,0.45745,1.39162,1.51902,1.66165,0.000176018,0.000176018,0.000176018
