epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.151,1.75866,6.1759,1.93474,0.55778,0.06266,0.05231,0.02666,2.03889,5.6257,2.26888,0.0801184,9.99074e-05,9.99074e-05
2,463.932,1.733,4.80213,1.875,0.55911,0.16712,0.12692,0.0634,1.95954,4.10689,2.17557,0.0602184,0.000199859,0.000199859
3,690.455,1.7134,4.23807,1.85036,0.48119,0.22322,0.18109,0.0958,1.84539,3.68608,2.07341,0.0403181,0.000299614,0.000299614
4,913.475,1.68528,3.94088,1.82204,0.47632,0.28532,0.23087,0.12226,1.84646,3.20959,2.06583,0.0204175,0.000399029,0.000399029
5,1133.96,1.66011,3.7419,1.80529,0.57678,0.29592,0.2646,0.14789,1.76639,3.28376,1.99575,0.000516475,0.000497956,0.000497956
6,1354.37,1.62654,3.57893,1.77452,0.46127,0.40116,0.32356,0.18329,1.72439,2.8342,1.9471,0.000496953,0.000496953,0.000496953
7,1575.27,1.59851,3.43531,1.75848,0.44398,0.37429,0.32447,0.18606,1.71317,2.75084,1.9354,0.000495616,0.000495616,0.000495616
8,1796.03,1.59735,3.3279,1.75333,0.51306,0.40382,0.3605,0.2135,1.68203,2.58219,1.90608,0.000494039,0.000494039,0.000494039
9,2015.04,1.57993,3.21987,1.74307,0.48858,0.4402,0.39606,0.23737,1.63804,2.52827,1.87762,0.000492224,0.000492224,0.000492224
10,2234.77,1.56949,3.13409,1.73597,0.46312,0.46153,0.41576,0.25059,1.63327,2.38238,1.8522,0.000490173,0.000490173,0.000490173
11,2454.42,1.56224,3.07677,1.72658,0.54368,0.43292,0.42009,0.24779,1.6235,2.40067,1.85,0.000487886,0.000487886,0.000487886
12,2673.47,1.54032,2.97547,1.71103,0.5124,0.47598,0.4471,0.26856,1.59836,2.25704,1.83685,0.000485368,0.000485368,0.000485368
13,2893.22,1.53543,2.92721,1.70267,0.47004,0.52343,0.45952,0.28087,1.58576,2.23863,1.81591,0.00048262,0.00048262,0.00048262
14,3114.34,1.52146,2.8917,1.69646,0.48656,0.53962,0.47341,0.29247,1.55398,2.18655,1.79477,0.000479644,0.000479644,0.000479644
15,3334.35,1.52289,2.85174,1.69417,0.49976,0.49929,0.47989,0.29129,1.58965,2.15156,1.82254,0.000476445,0.000476445,0.000476445
16,3554.79,1.50338,2.78252,1.68247,0.49904,0.52463,0.48881,0.30297,1.554,2.09192,1.78961,0.000473024,0.000473024,0.000473024
17,3774.01,1.49974,2.75936,1.67951,0.50188,0.58381,0.53054,0.33245,1.52926,2.02171,1.77229,0.000469386,0.000469386,0.000469386
18,3994.55,1.50085,2.7066,1.67757,0.50933,0.567,0.52737,0.32858,1.52933,1.98268,1.77135,0.000465534,0.000465534,0.000465534
19,4214.28,1.48622,2.68244,1.66734,0.54255,0.56251,0.53446,0.33801,1.51615,1.96893,1.75707,0.000461471,0.000461471,0.000461471
20,4435.1,1.48139,2.6295,1.66386,0.51403,0.58846,0.54613,0.34436,1.52367,1.9205,1.75887,0.000457202,0.000457202,0.000457202
21,4654.51,1.47805,2.60688,1.66406,0.51784,0.60186,0.56757,0.35855,1.50591,1.86449,1.747,0.000452732,0.000452732,0.000452732
22,4874.18,1.46553,2.55997,1.65245,0.5173,0.6118,0.56719,0.35849,1.50254,1.85833,1.74259,0.000448063,0.000448063,0.000448063
23,5094.15,1.4623,2.5458,1.64751,0.50469,0.61843,0.57709,0.36746,1.4914,1.81,1.73147,0.000443202,0.000443202,0.000443202
24,5314.5,1.45858,2.50524,1.64395,0.53153,0.61607,0.59204,0.38027,1.4832,1.77971,1.72902,0.000438152,0.000438152,0.000438152
25,5534.56,1.45345,2.50638,1.64261,0.5489,0.62311,0.591,0.37743,1.47536,1.77243,1.72384,0.00043292,0.00043292,0.00043292
26,5754.79,1.44832,2.44375,1.6405,0.57134,0.59947,0.60039,0.38379,1.46603,1.74546,1.71625,0.000427509,0.000427509,0.000427509
27,5974.72,1.44474,2.43904,1.64013,0.6015,0.62073,0.61667,0.39661,1.46684,1.71683,1.71093,0.000421925,0.000421925,0.000421925
28,6195.43,1.44137,2.42718,1.63765,0.54708,0.65153,0.62073,0.40021,1.4609,1.69893,1.70834,0.000416175,0.000416175,0.000416175
29,6415.44,1.43193,2.39278,1.62718,0.58105,0.62576,0.63025,0.40708,1.45464,1.68086,1.70398,0.000410262,0.000410262,0.000410262
30,6635.71,1.42591,2.37905,1.62743,0.57302,0.65583,0.6334,0.41321,1.44622,1.65824,1.69754,0.000404194,0.000404194,0.000404194
31,6855.89,1.42713,2.35768,1.6247,0.5483,0.67556,0.63622,0.41486,1.44693,1.63673,1.69748,0.000397977,0.000397977,0.000397977
32,7076.03,1.42333,2.32153,1.62071,0.54881,0.67632,0.64659,0.42014,1.44231,1.6256,1.69231,0.000391616,0.000391616,0.000391616
33,7295.98,1.41547,2.28895,1.61195,0.5813,0.65717,0.6524,0.42675,1.43475,1.60672,1.68495,0.000385117,0.000385117,0.000385117
34,7516.33,1.41466,2.27893,1.60928,0.60636,0.67188,0.66014,0.43584,1.43127,1.58583,1.68047,0.000378488,0.000378488,0.000378488
